image_path,label_index,mask_path,anomaly_type,split,matte_surface_finish,ovoid_body_shape,fine_linear_striations,longitudinal_ridges,brown_color_hue,reddish_brown_hue,tapered_distal_end,dark_basal_patch,non_reflective_sheen,fine_longitudinal_striations,light_tan_patch,ovoid_geometric_form,rough_basal_area,brown_pigmentation,longitudinal_grooves,non_reflective_surface,reddish_brown_pigmentation,subtle_satin_sheen,basal_area_markings,surface_irregularity,color_deviation,structural_discontinuity,texture_inconsistency,unexpected_surface_pattern,exposed_kernel_meat,jagged_shell_margin,shell_fragment_loss,deep_shell_fissure,shell_separation_gap,jagged_fracture_margin,pale_linear_cut,linear_shell_incision,circular_shell_perforation,exposed_nut_interior,dark_internal_cavity,linear_shell_crack,exposed_internal_void,jagged_hole_margin,bright_white_marking,high_contrast_print,white_surface_patches,bright_white_patch
/home/sobhan_hosseini/datasets/mvtec/hazelnut/test/hole/000.png,1,/home/sobhan_hosseini/datasets/mvtec/hazelnut/ground_truth/hole/000_mask.png,hole,train,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/hazelnut/test/hole/001.png,1,/home/sobhan_hosseini/datasets/mvtec/hazelnut/ground_truth/hole/001_mask.png,hole,val,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/hazelnut/test/hole/002.png,1,/home/sobhan_hosseini/datasets/mvtec/hazelnut/ground_truth/hole/002_mask.png,hole,train,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/hazelnut/test/hole/003.png,1,/home/sobhan_hosseini/datasets/mvtec/hazelnut/ground_truth/hole/003_mask.png,hole,train,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/hazelnut/test/hole/004.png,1,/home/sobhan_hosseini/datasets/mvtec/hazelnut/ground_truth/hole/004_mask.png,hole,train,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/hazelnut/test/hole/005.png,1,/home/sobhan_hosseini/datasets/mvtec/hazelnut/ground_truth/hole/005_mask.png,hole,train,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/hazelnut/test/hole/006.png,1,/home/sobhan_hosseini/datasets/mvtec/hazelnut/ground_truth/hole/006_mask.png,hole,test,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/hazelnut/test/hole/007.png,1,/home/sobhan_hosseini/datasets/mvtec/hazelnut/ground_truth/hole/007_mask.png,hole,train,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/hazelnut/test/hole/008.png,1,/home/sobhan_hosseini/datasets/mvtec/hazelnut/ground_truth/hole/008_mask.png,hole,train,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/hazelnut/test/hole/009.png,1,/home/sobhan_hosseini/datasets/mvtec/hazelnut/ground_truth/hole/009_mask.png,hole,train,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/hazelnut/test/hole/010.png,1,/home/sobhan_hosseini/datasets/mvtec/hazelnut/ground_truth/hole/010_mask.png,hole,train,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/hazelnut/test/hole/011.png,1,/home/sobhan_hosseini/datasets/mvtec/hazelnut/ground_truth/hole/011_mask.png,hole,val,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/hazelnut/test/hole/012.png,1,/home/sobhan_hosseini/datasets/mvtec/hazelnut/ground_truth/hole/012_mask.png,hole,train,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/hazelnut/test/hole/013.png,1,/home/sobhan_hosseini/datasets/mvtec/hazelnut/ground_truth/hole/013_mask.png,hole,train,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/hazelnut/test/hole/014.png,1,/home/sobhan_hosseini/datasets/mvtec/hazelnut/ground_truth/hole/014_mask.png,hole,val,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/hazelnut/test/hole/015.png,1,/home/sobhan_hosseini/datasets/mvtec/hazelnut/ground_truth/hole/015_mask.png,hole,train,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/hazelnut/test/hole/016.png,1,/home/sobhan_hosseini/datasets/mvtec/hazelnut/ground_truth/hole/016_mask.png,hole,train,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/sobhan_hosseini/datasets/mvtec/hazelnut/test/hole/017.png,1,/home/sobhan_hosseini/datasets/mvtec/hazelnut/ground_truth/hole/017_mask.png,hole,train,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
