image_path,label_index,mask_path,anomaly_type,split,dull_metallic_gray,uniform_gray_tone,semi_matte_finish,straight_axial_alignment,raised_thread_ridges,even_metallic_sheen,intact_thread_pitch,cylindrical_shaft_body,hexagonal_head_shape,uniform_metal_sheen,tapered_point_tip,machined_metal_sheen,pointed_tip_geometry,medium_steel_gray,uniform_metallic_plating,tapered_shank_geometry,uniform_thread_pitch,defined_thread_ridges,tapered_cylindrical_body,slotted_recessed_head,surface_irregularity,color_deviation,structural_discontinuity,texture_inconsistency,unexpected_surface_pattern,head_slot_distortion,distorted_thread_ridges,head_abrasion_mark,head_surface_scratching,linear_scratching,head_scratch_abrasion,localized_surface_gouging,head_abrasion_scratches,head_surface_scratch,neck_abrasion_wear,linear_surface_scratch,metallic_abrasion_mark,linear_scratch_abrasion,head_neck_scuffing,gouged_thread_root,abrasive_head_damage,non_uniform_thread_profile,flank_thread_erosion,side_thread_abrasion,material_thread_bending,compromised_thread_profile,thread_flank_erosion,rough_thread_surface,thread_top_chipping,damaged_thread_top,thread_stress_failure,head_thread_deformation
/home/sobhan_hosseini/datasets/mvtec/screw/train/good/000.png,0,,good,train,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
/home/sobhan_hosseini/datasets/mvtec/screw/train/good/001.png,0,,good,train,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
/home/sobhan_hosseini/datasets/mvtec/screw/train/good/002.png,0,,good,val,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
/home/sobhan_hosseini/datasets/mvtec/screw/train/good/003.png,0,,good,train,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
/home/sobhan_hosseini/datasets/mvtec/screw/train/good/004.png,0,,good,val,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
/home/sobhan_hosseini/datasets/mvtec/screw/train/good/005.png,0,,good,train,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
/home/sobhan_hosseini/datasets/mvtec/screw/train/good/006.png,0,,good,val,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
/home/sobhan_hosseini/datasets/mvtec/screw/train/good/007.png,0,,good,test,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
/home/sobhan_hosseini/datasets/mvtec/screw/train/good/008.png,0,,good,train,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
/home/sobhan_hosseini/datasets/mvtec/screw/train/good/009.png,0,,good,train,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
